Process_all,Process_name,Region,General_information,Unit,count_excel,Process_info_withoutregion,count_all_excel
"butane-1,4-diol//[RER] butane-1,4-diol production","butane-1,4-diol",[RER],"butane-1,4-diol production",kg,3,"butane-1,4-diol_butane-1,4-diol production",2
butyl acetate//[RER] butyl acetate production,butyl acetate,[RER],butyl acetate production,kg,3,butyl acetate_butyl acetate production,2
cabbage red//[GLO] cabbage red production,cabbage red,[GLO],cabbage red production,kg,2,cabbage red_cabbage red production,1
cabbage white//[GLO] cabbage white production,cabbage white,[GLO],cabbage white production,kg,2,cabbage white_cabbage white production,1
"cable, data cable in infrastructure//[GLO] cable production, data cable in infrastructure","cable, data cable in infrastructure",[GLO],"cable production, data cable in infrastructure",m,2,"cable, data cable in infrastructure_cable production, data cable in infrastructure",1
"cable, three-conductor cable//[GLO] cable production, three-conductor cable","cable, three-conductor cable",[GLO],"cable production, three-conductor cable",m,2,"cable, three-conductor cable_cable production, three-conductor cable",1
"cadmium chloride, semiconductor-grade//[US] cadmium chloride production, semiconductor-grade","cadmium chloride, semiconductor-grade",[US],"cadmium chloride production, semiconductor-grade",kg,3,"cadmium chloride, semiconductor-grade_cadmium chloride production, semiconductor-grade",2
"cadmium//[CA-QC] cadmium production, primary",cadmium,[CA-QC],"cadmium production, primary",kg,3,"cadmium_cadmium production, primary",2
"cadmium, semiconductor-grade//[US] cadmium production, semiconductor-grade","cadmium, semiconductor-grade",[US],"cadmium production, semiconductor-grade",kg,3,"cadmium, semiconductor-grade_cadmium production, semiconductor-grade",2
cadmium sludge from zinc electrolysis stockpiling//[US] cadmium sludge from zinc electrolysis stockpiling,cadmium sludge from zinc electrolysis stockpiling,[US],cadmium sludge from zinc electrolysis stockpiling,kg,3,cadmium sludge from zinc electrolysis stockpiling_cadmium sludge from zinc electrolysis stockpiling,2
"cadmium sulfide, semiconductor-grade//[US] cadmium sulfide production, semiconductor-grade","cadmium sulfide, semiconductor-grade",[US],"cadmium sulfide production, semiconductor-grade",kg,3,"cadmium sulfide, semiconductor-grade_cadmium sulfide production, semiconductor-grade",2
"cadmium telluride, semiconductor-grade//[US] cadmium telluride production, semiconductor-grade","cadmium telluride, semiconductor-grade",[US],"cadmium telluride production, semiconductor-grade",kg,3,"cadmium telluride, semiconductor-grade_cadmium telluride production, semiconductor-grade",2
calcareous marl//[CH] calcareous marl production,calcareous marl,[CH],calcareous marl production,kg,3,calcareous marl_calcareous marl production,2
"nitrogen fertiliser, as N//[RER] calcium ammonium nitrate production","nitrogen fertiliser, as N",[RER],calcium ammonium nitrate production,kg,22,"nitrogen fertiliser, as N_calcium ammonium nitrate production",2
calcium borates//[TR] calcium borates production,calcium borates,[TR],calcium borates production,kg,3,calcium borates_calcium borates production,2
"calcium carbide, technical grade//[RER] calcium carbide production, technical grade","calcium carbide, technical grade",[RER],"calcium carbide production, technical grade",kg,3,"calcium carbide, technical grade_calcium carbide production, technical grade",2
de-icer//[GLO] calcium chloride to generic market for de-icer,de-icer,[GLO],calcium chloride to generic market for de-icer,kg,3,de-icer_calcium chloride to generic market for de-icer,1
canal//[RER] canal construction,canal,[RER],canal construction,m*year,3,canal_canal construction,2
"capacitor, electrolyte type, < 2cm height//[GLO] capacitor production, electrolyte type, < 2cm height","capacitor, electrolyte type, < 2cm height",[GLO],"capacitor production, electrolyte type, < 2cm height",kg,2,"capacitor, electrolyte type, < 2cm height_capacitor production, electrolyte type, < 2cm height",1
"capacitor, electrolyte type, > 2cm height//[GLO] capacitor production, electrolyte type, > 2cm height","capacitor, electrolyte type, > 2cm height",[GLO],"capacitor production, electrolyte type, > 2cm height",kg,2,"capacitor, electrolyte type, > 2cm height_capacitor production, electrolyte type, > 2cm height",1
"capacitor, film type, for through-hole mounting//[GLO] capacitor production, film type, for through-hole mounting","capacitor, film type, for through-hole mounting",[GLO],"capacitor production, film type, for through-hole mounting",kg,2,"capacitor, film type, for through-hole mounting_capacitor production, film type, for through-hole mounting",1
"capacitor, for surface-mounting//[GLO] capacitor production, for surface-mounting","capacitor, for surface-mounting",[GLO],"capacitor production, for surface-mounting",kg,2,"capacitor, for surface-mounting_capacitor production, for surface-mounting",1
"capacitor, tantalum-, for through-hole mounting//[GLO] capacitor production, tantalum-, for through-hole mounting","capacitor, tantalum-, for through-hole mounting",[GLO],"capacitor production, tantalum-, for through-hole mounting",kg,2,"capacitor, tantalum-, for through-hole mounting_capacitor production, tantalum-, for through-hole mounting",1
captan//[RER] captan production,captan,[RER],captan production,kg,3,captan_captan production,2
carbon black//[GLO] carbon black production,carbon black,[GLO],carbon black production,kg,2,carbon black_carbon black production,1
"carbon dioxide, liquid//[RER] carbon dioxide production, liquid","carbon dioxide, liquid",[RER],"carbon dioxide production, liquid",kg,4,"carbon dioxide, liquid_carbon dioxide production, liquid",2
carbon disulfide//[GLO] carbon disulfide production,carbon disulfide,[GLO],carbon disulfide production,kg,2,carbon disulfide_carbon disulfide production,1
carbon monoxide//[RER] carbon monoxide production,carbon monoxide,[RER],carbon monoxide production,kg,5,carbon monoxide_carbon monoxide production,2
"carboxymethyl cellulose, powder//[RER] carboxymethyl cellulose production, powder","carboxymethyl cellulose, powder",[RER],"carboxymethyl cellulose production, powder",kg,3,"carboxymethyl cellulose, powder_carboxymethyl cellulose production, powder",2
carrot//[GLO] carrot335 production,carrot,[GLO],carrot335 production,kg,2,carrot_carrot335 production,1
"cast iron removed by drilling, computer numerical controlled//[RER] cast iron drilling, computer numerical controlled","cast iron removed by drilling, computer numerical controlled",[RER],"cast iron drilling, computer numerical controlled",kg,3,"cast iron removed by drilling, computer numerical controlled_cast iron drilling, computer numerical controlled",2
"cast iron removed by drilling, conventional//[RER] cast iron drilling, conventional","cast iron removed by drilling, conventional",[RER],"cast iron drilling, conventional",kg,3,"cast iron removed by drilling, conventional_cast iron drilling, conventional",2
"cast iron removed by milling, average//[RER] cast iron milling, average","cast iron removed by milling, average",[RER],"cast iron milling, average",kg,3,"cast iron removed by milling, average_cast iron milling, average",2
"cast iron removed by milling, dressing//[RER] cast iron milling, dressing","cast iron removed by milling, dressing",[RER],"cast iron milling, dressing",kg,3,"cast iron removed by milling, dressing_cast iron milling, dressing",2
"cast iron removed by milling, large parts//[RER] cast iron milling, large parts","cast iron removed by milling, large parts",[RER],"cast iron milling, large parts",kg,3,"cast iron removed by milling, large parts_cast iron milling, large parts",2
"cast iron removed by milling, small parts//[RER] cast iron milling, small parts","cast iron removed by milling, small parts",[RER],"cast iron milling, small parts",kg,3,"cast iron removed by milling, small parts_cast iron milling, small parts",2
cast iron//[RER] cast iron production,cast iron,[RER],cast iron production,kg,3,cast iron_cast iron production,2
"cast iron removed by turning, average, computer numerical controlled//[RER] cast iron turning, average, computer numerical controlled","cast iron removed by turning, average, computer numerical controlled",[RER],"cast iron turning, average, computer numerical controlled",kg,3,"cast iron removed by turning, average, computer numerical controlled_cast iron turning, average, computer numerical controlled",2
"cast iron removed by turning, average, conventional//[RER] cast iron turning, average, conventional","cast iron removed by turning, average, conventional",[RER],"cast iron turning, average, conventional",kg,3,"cast iron removed by turning, average, conventional_cast iron turning, average, conventional",2
"cast iron removed by turning, primarily dressing, computer numerical controlled//[RER] cast iron turning, primarily dressing, computer numerical controlled","cast iron removed by turning, primarily dressing, computer numerical controlled",[RER],"cast iron turning, primarily dressing, computer numerical controlled",kg,3,"cast iron removed by turning, primarily dressing, computer numerical controlled_cast iron turning, primarily dressing, computer numerical controlled",2
"cast iron removed by turning, primarily dressing, conventional//[RER] cast iron turning, primarily dressing, conventional","cast iron removed by turning, primarily dressing, conventional",[RER],"cast iron turning, primarily dressing, conventional",kg,3,"cast iron removed by turning, primarily dressing, conventional_cast iron turning, primarily dressing, conventional",2
"cast iron removed by turning, primarily roughing, computer numerical controlled//[RER] cast iron turning, primarily roughing, computer numerical controlled","cast iron removed by turning, primarily roughing, computer numerical controlled",[RER],"cast iron turning, primarily roughing, computer numerical controlled",kg,3,"cast iron removed by turning, primarily roughing, computer numerical controlled_cast iron turning, primarily roughing, computer numerical controlled",2
"cast iron removed by turning, primarily roughing, conventional//[RER] cast iron turning, primarily roughing, conventional","cast iron removed by turning, primarily roughing, conventional",[RER],"cast iron turning, primarily roughing, conventional",kg,3,"cast iron removed by turning, primarily roughing, conventional_cast iron turning, primarily roughing, conventional",2
"casting, brass//[CH] casting, brass","casting, brass",[CH],"casting, brass",kg,3,"casting, brass_casting, brass",2
"casting, bronze//[CH] casting, bronze","casting, bronze",[CH],"casting, bronze",kg,3,"casting, bronze_casting, bronze",2
"phacelia silage//[GLO] catch crop growing, phacelia, September-October, organic fertiliser 40 kg N",phacelia silage,[GLO],"catch crop growing, phacelia, September-October, organic fertiliser 40 kg N",kg,4,"phacelia silage_catch crop growing, phacelia, September-October, organic fertiliser 40 kg N",1
"phacelia silage//[CH] catch crop growing, phacelia, September-October, organic fertiliser 60 kg N",phacelia silage,[CH],"catch crop growing, phacelia, September-October, organic fertiliser 60 kg N",kg,4,"phacelia silage_catch crop growing, phacelia, September-October, organic fertiliser 60 kg N",2
"ryegrass silage//[CH] catch crop growing, ryegrass, August-April, organic fertiliser 60 kg N, three cuts",ryegrass silage,[CH],"catch crop growing, ryegrass, August-April, organic fertiliser 60 kg N, three cuts",kg,9,"ryegrass silage_catch crop growing, ryegrass, August-April, organic fertiliser 60 kg N, three cuts",2
